"COMMON.NAME","SCIENTIFIC.NAME"
"Red-breasted Parakeet","Psittacula alexandri"
"Black-crested Bulbul","Rubigula flaviventris"
"Common Iora","Aegithina tiphia"
"Large-billed Crow","Corvus macrorhynchos"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Black Drongo","Dicrurus macrocercus"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Little Spiderhunter","Arachnothera longirostra"
"Puff-throated Babbler","Pellorneum ruficeps"
"Brown Fish-Owl","Ketupa zeylonensis"
"Cattle Egret","Bubulcus ibis"
"Hair-crested Drongo","Dicrurus hottentottus"
"Abbott's Babbler","Turdinus abbotti"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Olive-backed Pipit","Anthus hodgsoni"
"White-throated Kingfisher","Halcyon smyrnensis"
"Brown Shrike","Lanius cristatus"
"Black Baza","Aviceda leuphotes"
"Rufous Treepie","Dendrocitta vagabunda"
"Bronze-winged Jacana","Metopidius indicus"
"Black-naped Oriole","Oriolus chinensis"
"Small Niltava","Niltava macgrigoriae"
"Oriental Scops-Owl","Otus sunia"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum"
"Blue-naped Pitta","Hydrornis nipalensis"
"Purple Sunbird","Cinnyris asiaticus"
"Pygmy Flycatcher","Ficedula hodgsoni"
"Greenish Warbler","Phylloscopus trochiloides"
"Common Kingfisher","Alcedo atthis"
"Indian Pond-Heron","Ardeola grayii"
"Black-naped Monarch","Hypothymis azurea"
"Asian Barred Owlet","Glaucidium cuculoides"
"Common Tailorbird","Orthotomus sutorius"
"Crested Serpent-Eagle","Spilornis cheela"
"Little Pied Flycatcher","Ficedula westermanni"
"Chestnut-tailed Starling","Sturnia malabarica"
"Cachar Bulbul","Iole cacharensis"
"Great Slaty Woodpecker","Mulleripicus pulverulentus"
"Gray-backed Shrike","Lanius tephronotus"
"Snowy-browed Flycatcher","Ficedula hyperythra"
"Common Hill Myna","Gracula religiosa"
"Black-hooded Oriole","Oriolus xanthornus"
"Oriental Magpie-Robin","Copsychus saularis"
"Black-backed Forktail","Enicurus immaculatus"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Ruby-cheeked Sunbird","Chalcoparia singalensis"
