"COMMON.NAME","SCIENTIFIC.NAME"
"Black-rumped Flameback","Dinopium benghalense"
"Indian Peafowl","Pavo cristatus"
"Crested Serpent-Eagle","Spilornis cheela"
"Red-naped Ibis","Pseudibis papillosa"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Ashy Prinia","Prinia socialis"
"Ashy Woodswallow","Artamus fuscus"
"Asian Koel","Eudynamys scolopaceus"
"Asian Openbill","Anastomus oscitans"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Indian Pied Starling","Gracupica contra"
"Asian Palm Swift","Cypsiurus balasiensis"
"Barred Buttonquail","Turnix suscitator"
"Barn Swallow","Hirundo rustica"
"Baya Weaver","Ploceus philippinus"
"Black-crowned Night Heron","Nycticorax nycticorax"
"Bengal Bushlark","Mirafra assamica"
"Black-headed Cuckooshrike","Lalage melanoptera"
"Black-winged Kite","Elanus caeruleus"
"Black-winged Stilt","Himantopus himantopus"
"Black Drongo","Dicrurus macrocercus"
"Black Kite","Milvus migrans"
"Black-headed Bunting","Emberiza melanocephala"
"Black-headed Ibis","Threskiornis melanocephalus"
"Black-hooded Oriole","Oriolus xanthornus"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Blue-throated Barbet","Psilopogon asiaticus"
"Bluethroat","Luscinia svecica"
"Bristled Grassbird","Schoenicola striatus"
"Barn Owl","Tyto alba"
"Brown Shrike","Lanius cristatus"
"Bronze-winged Jacana","Metopidius indicus"
"Blue-tailed Bee-eater","Merops philippinus"
"Eastern Cattle Egret","Bubulcus coromandus"
"Chestnut-eared Bunting","Emberiza fucata"
"Chestnut-tailed Starling","Sturnia malabarica"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Babbler","Argya caudata"
"Common Greenshank","Tringa nebularia"
"Common Iora","Aegithina tiphia"
"Common Kingfisher","Alcedo atthis"
"Common Myna","Acridotheres tristis"
"Common Sandpiper","Actitis hypoleucos"
"Common Snipe","Gallinago gallinago"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Delicate Prinia","Prinia lepida"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Gray Heron","Ardea cinerea"
"Greater Coucal","Centropus sinensis"
"Great Egret","Ardea alba"
"Asian Green Bee-eater","Merops orientalis"
"Green Sandpiper","Tringa ochropus"
"Gray Francolin","Ortygornis pondicerianus"
"Gray-breasted Prinia","Prinia hodgsonii"
"Gray-throated Martin","Riparia chinensis"
"Eurasian Hoopoe","Upupa epops"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Hume's Lark","Calandrella acutirostris"
"Indian Nightjar","Caprimulgus asiaticus"
"Indian Robin","Copsychus fulicatus"
"Indian Silverbill","Euodice malabarica"
"Indian Thick-knee","Burhinus indicus"
"Indian Golden Oriole","Oriolus kundoo"
"Indian Pond-Heron","Ardeola grayii"
"Indian Scops-Owl","Otus bakkamoena"
"Medium Egret","Ardea intermedia"
"Jungle Babbler","Argya striata"
"Jungle Myna","Acridotheres fuscus"
"Kentish Plover","Anarhynchus alexandrinus"
"Lesser Coucal","Centropus bengalensis"
